file_path,modifications,total_churn,total_added,total_deleted,unique_commits,first_seen,last_seen,lifespan_years,churn_density
numpy\core\tests\test_multiarray.py,474,16044,11076,4968,474,2006-01-06 21:27:55+00:00,2017-09-23 16:40:57+00:00,11.7,1371.3
numpy\core\src\arrayobject.c,436,92063,31894,60169,436,2006-01-04 19:00:27+00:00,2009-04-30 08:39:07+00:00,3.3,27897.9
numpy\lib\function_base.py,411,16192,9799,6393,411,2006-01-04 19:00:27+00:00,2017-08-24 23:04:46+00:00,11.6,1395.9
numpy\core\setup.py,387,5045,2544,2501,387,2006-01-04 17:47:13+00:00,2017-08-16 22:52:49+00:00,11.6,434.9
numpy\ma\core.py,384,18749,11891,6858,384,2007-12-15 01:15:26+00:00,2017-09-25 08:12:36+00:00,9.8,1913.2
numpy\core\tests\test_regression.py,381,7122,4307,2815,381,2006-07-18 13:08:23+00:00,2017-08-31 22:59:20+00:00,11.1,641.6
numpy\core\src\umath\ufunc_object.c,323,26505,13923,12582,323,2009-04-30 08:43:07+00:00,2017-08-12 00:05:18+00:00,8.3,3193.4
numpy\core\src\multiarraymodule.c,321,45152,14828,30324,321,2006-01-04 19:00:27+00:00,2009-04-30 08:40:24+00:00,3.3,13682.4
numpy\core\numeric.py,315,9788,5319,4469,315,2006-01-04 21:05:36+00:00,2017-09-23 15:07:46+00:00,11.7,836.6
numpy\core\src\multiarray\multiarraymodule.c,302,10115,5400,4715,302,2009-04-30 08:42:26+00:00,2017-09-09 14:53:09+00:00,8.4,1204.2
numpy\ma\tests\test_core.py,279,11633,7617,4016,279,2007-12-15 01:15:26+00:00,2017-09-23 08:24:05+00:00,9.8,1187.0
numpy\add_newdocs.py,270,19870,13097,6773,270,2006-01-05 10:28:41+00:00,2017-09-23 14:18:12+00:00,11.7,1698.3
numpy\core\src\multiarray\ctors.c,250,10349,5452,4897,250,2009-04-30 08:42:26+00:00,2017-09-23 21:17:00+00:00,8.4,1232.0
numpy\core\src\multiarray\mapping.c,237,14064,8277,5787,237,2009-04-30 08:42:26+00:00,2017-09-04 04:24:38+00:00,8.3,1694.5
numpy\lib\tests\test_function_base.py,229,8075,5428,2647,229,2006-01-04 19:00:27+00:00,2017-08-11 01:01:06+00:00,11.6,696.1
numpy\core\tests\test_umath.py,222,6617,4443,2174,222,2006-01-04 19:00:27+00:00,2017-08-01 20:29:36+00:00,11.6,570.4
